URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews
https://www.myntra.com/lounge-pants/vimal/vimal-men-set-of-2-black-and-navy-blue-solid-lounge-pants/12708354/buy,12708354,VIMAL,Inner Wear &  Sleep Wear,lounge-pants,Men,vimal men set of 2 black and navy blue solid lounge pants,881,1798,51% OFF,"S, M, L, XL, XXL",4.1,928
https://www.myntra.com/kurta-sets/janasya/janasya-women-navy-blue--peach-coloured-solid-kurti-with-trousers--dupatta/8974413/buy,8974413,Janasya,Indian Wear,kurta-sets,Women,janasya women navy blue  peach coloured solid kurti with trousers  dupatta,1644,4699,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4.3,928
https://www.myntra.com/tops/miss-chase/miss-chase-black-self-design-top/8935419/buy,8935419,Miss Chase,Western,tops,Women,miss chase black self design top,,1649,60% OFF,"XS, S, M, L, XL",4.2,928
https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-navy-blue-skinny-fit-mid-rise-low-distress-stretchable-jeans/13077152/buy,13077152,Mast & Harbour,Bottom Wear,jeans,Men,mast  harbour men navy blue skinny fit mid rise low distress stretchable jeans,599,1499,60% OFF,"28, 30, 32, 34, 36",3.8,927
https://www.myntra.com/shirts/highlander/highlander-men-rust-red--off-white-slim-fit-printed-casual-shirt/13861878/buy,13861878,HIGHLANDER,Topwear,shirts,Men,highlander men rust red  off white slim fit printed casual shirt,516,1099,53% OFF,"39, 40, 42, 44",4.3,927
https://www.myntra.com/shirts/highlander/highlander-men-white--blue-slim-fit-printed-casual-shirt/14205782/buy,14205782,HIGHLANDER,Topwear,shirts,Men,highlander men white  blue slim fit printed casual shirt,563,1199,53% OFF,"39, 40, 42, 44",3.8,927
https://www.myntra.com/bra/dressberry/dressberry-pack-of-2-solid-non-wired-lightly-padded-t-shirt-bras-bp-030/11883168/buy,11883168,DressBerry,Lingerie & Sleep Wear,bra,Women,dressberry pack of 2 solid non wired lightly padded t shirt bras bp 030,909,1399,35% OFF,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",4.4,927
https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-white-printed-round-neck-running-pure-cotton-t-shirt/11037088/buy,11037088,HRX by Hrithik Roshan,Sports Wear,tshirts,Women,hrx by hrithik roshan women white printed round neck running pure cotton t shirt,404,899,55% OFF,"XS, S, M, L, XL",4.3,927
https://www.myntra.com/jeans/tokyo-talkies/tokyo-talkies-women-navy-blue-slim-fit-high-rise-clean-look-stretchable-jeans/12876318/buy,12876318,Tokyo Talkies,Western,jeans,Women,tokyo talkies women navy blue slim fit high rise clean look stretchable jeans,,1699,58% OFF,"26, 28, 30, 32, 34",4.3,927
https://www.myntra.com/dresses/dressberry/dressberry-women-burgundy-embroidered-a-line-dress/10463770/buy,10463770,DressBerry,Western,dresses,Women,dressberry women burgundy embroidered a line dress,,1999,50% OFF,"XS, S, M, L, XL",4.3,927
https://www.myntra.com/trousers/highlander/highlander-men-navy-blue-tapered-fit-chinos/2290042/buy,2290042,HIGHLANDER,Bottom Wear,trousers,Men,highlander men navy blue tapered fit chinos,604,1549,61% OFF,"30, 32, 34, 36",4,926
https://www.myntra.com/trousers/highlander/highlander-men-grey-slim-fit-trousers/8106703/buy,8106703,HIGHLANDER,Bottom Wear,trousers,Men,highlander men grey slim fit trousers,554,1499,63% OFF,"30, 32, 34, 36",3.8,926
https://www.myntra.com/lounge-pants/xyxx/xyxx-men-super-combed-cotton-checkmate-lounge-pants-xypyjm10/10852560/buy,10852560,XYXX,Inner Wear &  Sleep Wear,lounge-pants,Men,xyxx men super combed cotton checkmate lounge pants xypyjm10,629,769,Rs. 140 OFF,"S, M, L, XL",4.1,926
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-men-multicoloured-striped-round-neck-t-shirt/8301909/buy,8301909,Mast & Harbour,Topwear,tshirts,Men,mast  harbour men multicoloured striped round neck t shirt,449,899,50% OFF,"S, M, L, XL",4.2,926
https://www.myntra.com/tshirts/roadster/roadster-men-blue--white-striped-round-neck-pure-cotton-t-shirt/8829435/buy,8829435,Roadster,Topwear,tshirts,Men,roadster men blue  white striped round neck pure cotton t shirt,449,899,50% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.3,926
https://www.myntra.com/sarees/inddus/inddus-red--golden-woven-design-silk-blend-saree/12048344/buy,12048344,Inddus,Indian Wear,sarees,Women,inddus red  golden woven design silk blend saree,2589,6999,63% OFF,Onesize,4.4,926
https://www.myntra.com/briefs/dollar-missy/dollar-missy-women-pack-of-6-bikini-briefs-201p-hrt-cam-pur-po6/2190882/buy,2190882,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,dollar missy women pack of 6 bikini briefs 201p hrt cam pur po6,686,915,25% OFF,"XS, S, M, L, XL, XXL",4,926
https://www.myntra.com/jeggings/roadster/roadster-women-navy-blue-super-skinny-fit-washed-treggings/11489668/buy,11489668,Roadster,Western,jeggings,Women,roadster women navy blue super skinny fit washed treggings,,1299,45% OFF,"26, 28, 30, 32, 34, 36",4.3,926
https://www.myntra.com/dresses/roadster/roadster-easy-shift-dress-in-cotton-blend/2368774/buy,2368774,Roadster,Western,dresses,Women,roadster easy shift dress in cotton blend,,1399,60% OFF,"XS, S, M, L, XL, XXL",3.9,926
https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-solid-rapid-dry-running-shorts/12212310/buy,12212310,HRX by Hrithik Roshan,Bottom Wear,shorts,Men,hrx by hrithik roshan men navy solid rapid dry running shorts,679,1699,60% OFF,"28, 30, 32, 34, 36",4.3,925
https://www.myntra.com/boxers/us-polo-assn/us-polo-assn-men-assorted-printed-pure-cotton-boxers-i657-615-cr-l/9168503/buy,9168503,U.S. Polo Assn.,Inner Wear &  Sleep Wear,boxers,Men,us polo assn men assorted printed pure cotton boxers i657 615 cr l,,599,,"S, M, L",3.9,925
https://www.myntra.com/kurtas/anouk/anouk-men-navy-blue-solid-straight-kurta/10803222/buy,10803222,Anouk,Topwear,kurtas,Men,anouk men navy blue solid straight kurta,599,1499,60% OFF,"S, M, L, XL, XXL",3.8,925
